Title;Year;Age;IMDb;Rotten Tomatoes;Netflix;Hulu;Prime Video;Disney+;Directors;Genres;Country;Language;Runtime
The Devil Below;2021;18+;4,2;57;1;0;0;0;Bradley Parker;Horror,Thriller;United States;;88
A Week Away;2021;18+;5,8;56;1;0;0;0;Roman White;Drama,Family,Musical;United States;English;94
A Family;2021;;7,0;56;1;0;0;0;Michihito Fujii;Crime,Drama;Japan;Japanese;136
Cosmic Sin;2021;18+;2,5;56;1;0;0;0;Edward Drake;Action,Adventure,Sci-Fi;United States;English;88
Pretty Guardians Sailor Moon Eternal The MOVIE - Part 1;2021;;7,1;56;1;0;0;0;;;;;
Cousins;2021;18+;7,0;56;1;0;0;0;Ainsley Gardiner,Briar Grace Smith;Drama;New Zealand;English,Maori;98
Words Bubble Up Like Soda Pop;2021;;7,0;56;1;0;0;0;Kyohei Ishiguro;Animation,Drama,Romance;Japan;Japanese;87
Dynasty Warriors;2021;;4,8;56;1;0;0;0;Roy Hin Yeung Chow;Action,Adventure,Fantasy;Hong Kong SAR China,China,Japan;Cantonese,Mandarin;119
This Little Love of Mine;2021;all;5,3;56;1;0;0;0;Christine Luby;Romance;Australia;English;91
The Minimalists: Less Is Now;2021;;5,9;56;1;0;0;0;Matt D'Avella;Documentary;United States;English;53
Deep;2021;18+;4,9;56;1;0;0;0;Sita Likitvanichkul,Jetarin Ratanaserikiat,Apirak Samudkidpisan,Thanabodee Uawithya,Adirek Wattaleela;Drama,Mystery,Sci-Fi,Thriller;Thailand;Thai;101
Biking Borders - eine etwas andere Reise;2021;;7,9;56;1;0;0;0;Max Jabs;Documentary;Germany;German;90
Ghost Lab;2021;18+;5,2;56;1;0;0;0;Paween Purijitpanya;Drama,Horror,Thriller;Thailand;Thai;117
A Perfect Fit;2021;;5,3;56;1;0;0;0;Hadrah Daeng Ratu;Comedy,Drama,Romance;Indonesia;Indonesian;112
Prime Time;2021;18+;5,3;55;1;0;0;0;Jakub Piatek;Drama,Thriller;Poland;Polish;93
Baggio: The Divine Ponytail;2021;16+;6,1;55;1;0;0;0;Letizia Lamartire;Biography,Drama,Sport;Italy;Italian;91
The Girl on the Train;2021;18+;4,4;55;1;0;0;0;Tate Taylor;Crime,Drama,Mystery,Thriller;United States,India;English,Spanish;112
Rurouni Kenshin: The Beginning;2021;;8,0;55;1;0;0;0;Keishi Ohtomo;Action,Adventure,Drama;Japan;Japanese;137
One;2021;;6,6;55;1;0;0;0;Malgorzata Szumowska;Drama;France,Poland,Germany;French,English,Polish;99
Dancing Queens;2021;;5,5;55;1;0;0;0;Helena BergstrÇôm;Comedy,Drama;Sweden;Swedish,English;110
Madame Claude;2021;18+;5,4;55;1;0;0;0;Sylvie Verheyde;Biography,Crime,Drama,Romance;France;French;112
Have You Ever Seen Fireflies?;2021;16+;6,2;55;1;0;0;0;AndaÇõ Haznedaroglu;Comedy,Drama;Turkey;Turkish;113
In Our Mothers' Gardens;2021;;8,9;54;1;0;0;0;Shantrelle P. Lewis;Documentary;United States;English;
Caught by a Wave;2021;16+;5,8;54;1;0;0;0;Massimiliano Camaiti;Drama,Romance,Sport;Italy;Italian;99
Irul;2021;;5,8;54;1;0;0;0;Naseef Yusuf Izuddin;Mystery,Thriller;India;Malayalam;91
HÇ¸roes. Silencio y Rock & Roll;2021;;7,5;54;1;0;0;0;Alexis Morante;Documentary;Spain;Spanish;94
My Amanda;2021;;5,8;54;1;0;0;0;Alessandra de Rossi;Drama,Romance;Philippines;Filipino;89
Accomplice;2021;;7,3;53;1;0;0;0;Dong-Suk Kuk;Drama,Thriller;South Korea;Korean;95
Homunculus;2021;;5,6;53;1;0;0;0;Takashi Shimizu;Drama,Fantasy,Mystery,Thriller;Japan;Japanese;115
Tony Parker: The Final Shot;2021;;6,7;53;1;0;0;0;Florent Bodin;Documentary,Biography,Sport;France;French;98
Stuck Apart;2021;;6,0;53;1;0;0;0;Durul Taylan,Yagmur Taylan;Comedy,Drama;Turkey;Turkish;96
Wild Dog;2021;18+;6,3;53;1;0;0;0;Ahishor Solomon;Action,Adventure,Crime,Thriller;India;Telugu;145
The Yinyang Master;2021;;6,4;52;1;0;0;0;Weiran Li;Action,Adventure,Drama,Fantasy,Romance;China;Chinese;113
Uppena;2021;;6,8;52;1;0;0;0;Buchi Babu Sana;Action,Drama,Romance;India;Telugu;147
Carnaval;2021;;3,9;52;1;0;0;0;Leandro Neri;Comedy;Brazil;Portuguese;94
Arlo the Alligator Boy;2021;7+;6,7;52;1;0;0;0;Ryan Crego;Animation,Adventure,Comedy,Family,Musical;United States;English;90
Ride or Die;2021;18+;5,4;52;1;0;0;0;Ryuichi Hiroki;Drama,Romance,Thriller;Japan;Japanese;142
Super Me;2021;;5,9;52;1;0;0;0;Zhang Chong;Drama,Fantasy,Mystery,Sci-Fi;China;Chinese;102
Creating an Army of the Dead;2021;18+;;52;1;0;0;0;;;;;
Just Say Yes;2021;;4,5;52;1;0;0;0;Appie Boudellah,Aram van de Rest;Comedy,Romance;Netherlands;Dutch;97
Wish You;2021;;6,5;51;1;0;0;0;Do Joon Sung;Drama,Music,Romance;South Korea;Korean,English;102
Hate by Dani Rovira;2021;;6,7;51;1;0;0;0;Mario Briongos;Comedy;Spain;Spanish;82
Squared Love;2021;13+;5,0;51;1;0;0;0;Filip Zylber;Comedy,Romance;Poland;Polish;102
Private Network: Who Killed Manuel Buendia;2021;;6,8;51;1;0;0;0;Manuel AlcalÇ­;Documentary,Crime,Mystery;Mexico;Spanish;100
Brian Regan: On the Rocks;2021;;6,9;51;1;0;0;0;Troy Miller;Comedy;United States;English;58
7 Yards: The Chris Norton Story;2021;;8,9;51;1;0;0;0;Jonathon Link;Documentary;United States;English;93
Audible;2021;13+;5,3;51;1;0;0;0;Matthew Ogens;Documentary,Short,Sport;United States;English;39
Bartkowiak;2021;18+;5,6;51;1;0;0;0;Daniel Markowicz;Action,Crime,Sport;Poland;Polish;91
Headspace: Unwind Your Mind;2021;all;7,6;50;1;0;0;0;;Documentary,Animation;United States;English;15
Double Dad;2021;;5,6;50;1;0;0;0;Cris D'Amato;Comedy,Drama,Family;Brazil;Portuguese;103
Trippinƒ?? with the Kandasamys;2021;;5,1;50;1;0;0;0;Jayan Moodley;Comedy,Romance;South Africa;English;93
Deadly Illusions;2021;;3,7;50;1;0;0;0;Anna Elizabeth James;Drama,Thriller;United States;English;114
The Tambour of Retribution;2021;;7,3;50;1;0;0;0;Abdulaziz Alshlahei;Drama;Saudi Arabia;Arabic;92
Poeslief: een ode aan de kat;2021;;5,1;50;1;0;0;0;;Documentary;Netherlands;Dutch;60
Roohi;2021;;4,3;50;1;0;0;0;Hardik Mehta;Comedy,Horror;India;Hindi;134
Family Seductions;2021;;4,6;49;1;0;0;0;Avi Federgreen;Thriller;Canada;English;87
Layla Majnun;2021;16+;6,4;49;1;0;0;0;Monty Tiwa;Drama,Romance;Indonesia;Indonesian;119
Amy Tan: Unintended Memoir;2021;;7,4;49;1;0;0;0;James Redford;Documentary,Biography;United States;English;101
African America;2021;;;49;1;0;0;0;Muzi Mthembu;Drama;South Africa;English;96
Strip Down, Rise Up;2021;18+;5,2;49;1;0;0;0;MichÇùle Ohayon;Documentary;United States;English;112
What Would Sophia Loren Do?;2021;;6,6;49;1;0;0;0;Ross Kauffman;Documentary,Short,Biography;United States;Italian,English;32
Ahaan;2021;;7,1;49;1;0;0;0;Nikhil Pherwani;Comedy,Drama;India;English,Hindi;81
Bankrolled;2021;;4,4;49;1;0;0;0;Marcos Bucay;Comedy;Mexico;Spanish;97
Love or Money;2021;;7,0;49;1;0;0;0;;Comedy;United States;English;30
Aelay;2021;;7,1;49;1;0;0;0;Halitha Shameem;Comedy,Drama;India;Tamil;153
Care Of Kaadhal;2021;;7,8;49;1;0;0;0;Jasti Hemambar;Drama;India;Tamil;134
Dolly Parton: A MusiCares Tribute;2021;7+;6,5;49;1;0;0;0;;Documentary,Music;United States;English;55
Sam Smith: Love Goes - Live at Abbey Road Studios;2021;;6,9;48;1;0;0;0;Paul Dugdale;Music;United Kingdom;English;61
Get the Grift;2021;;5,4;48;1;0;0;0;Pedro AntÇïnio Paes;Comedy,Crime;Brazil;Portuguese;94
The Last Paradiso;2021;;5,6;48;1;0;0;0;Rocco Ricciardulli;Drama,Romance;Italy;Italian;107
Tribhanga;2021;;6,1;48;1;0;0;0;Renuka Shahane;Drama,Family;India;Hindi;95
Barbie & Chelsea the Lost Birthday;2021;;6,0;48;1;0;0;0;Cassandra Mackay,Katie McWane;Animation,Adventure,Family;United States;English;60
Pretty Guardians Sailor Moon Eternal The MOVIE - Part 2;2021;;;48;1;0;0;0;;;;;
Sisters on Track;2021;7+;5,7;48;1;0;0;0;Tone GrÇ÷ttjord-Glenne,Corinne van der Borch;Documentary,Sport;United States;English;96
Searching for Sheela;2021;13+;4,2;48;1;0;0;0;Shakun Batra;Documentary,Biography,Crime;India;Hindi,English;58
Gold Statue;2021;;5,8;47;1;0;0;0;Tade Ogidan;Adventure,Comedy,Drama;Nigeria;;145
Animals on the Loose: A You vs. Wild Movie;2021;;5,8;47;1;0;0;0;Ben Simms;Adventure,Reality-TV;United States;English;90
Octonauts: The Ring of Fire;2021;all;7,2;46;1;0;0;0;Blair Simmons,Qin Zhou;Animation;China,United Kingdom;Chinese;72
Sardar Ka Grandson;2021;;4,1;46;1;0;0;0;Kaashvi Nair;Comedy,Drama,Romance;India;Hindi;139
June & Kopi;2021;;6,3;46;1;0;0;0;Noviandra Santosa;Comedy,Drama,Family;Indonesia;Indonesian;90
Strain;2021;;5,5;46;1;0;0;0;Uduak-Obong Patrick;Drama;Nigeria;English,Yoruba,Ibo;106
Emicida: AmarElo ƒ?? Live in SÇœo Paulo;2021;;6,6;46;1;0;0;0;Fred Ouro Preto;Music;Brazil;Portuguese;99
Kambili: The Whole 30 Yards;2021;;6,4;46;1;0;0;0;Kayode Kasum;Romance;Nigeria;English;119
Therapy;2021;;;45;1;0;0;0;John Carney;Drama;Ireland;English,Irish;85
Madam Chief Minister;2021;;4,7;45;1;0;0;0;Subhash Kapoor;Drama;India;Hindi;130
Tersanjung the Movie;2021;;6,0;45;1;0;0;0;Pandu Adjisurya,Hanung Bramantyo,Nur Jihat Hisyam;Drama,Romance;Indonesia;Indonesian;114
Hostage House;2021;;5,0;45;1;0;0;0;David Benullo;Thriller;United States;English;85
The Last Kids on Earth: Happy Apocalypse to You;2021;18+;7,1;45;1;0;0;0;Steve Rolston;Animation,Short,Comedy,Family;United States;English;27
Geez & Ann;2021;16+;5,1;45;1;0;0;0;Rizki Balki;Drama,Romance;Indonesia;Indonesian;105
The Heartbreak Club;2021;16+;6,4;44;1;0;0;0;Bagus Bramanti,Charles Gozali;Comedy,Drama,Romance;Indonesia;Indonesian;101
Lee Su-geun: The Sense Coach;2021;;4,0;44;1;0;0;0;;Comedy;South Korea;Korean;45
Soy Rada: Serendipia;2021;;5,8;44;1;0;0;0;Pablo Faro;Comedy;Argentina;Spanish;68
Chris Rock Total Blackout: The Tamborine Extended Cut;2021;;7,1;44;1;0;0;0;Bo Burnham;Comedy;United States;English;98
Resort to Love;2021;;3,8;44;1;0;0;0;Steven K. Tsuchida;Comedy,Romance;United States;English;101
Gatao: The Last Stray;2021;;6,0;44;1;0;0;0;Jui-Chih Chiang;Action,Crime,Drama,Romance;Taiwan;Mandarin;121
Clash;2021;;7,2;44;1;0;0;0;Mohamed Diab;Drama,Thriller,War;Egypt,France,Germany;Arabic,English;97
One Lagos Night;2021;;6,9;44;1;0;0;0;Ekene Som Mekwunye;Comedy,Crime;Nigeria;English;104
Super Monsters: Once Upon a Rhyme;2021;;5,6;43;1;0;0;0;;Animation,Family;;English;25
Chhota Bheem - Neeli Pahaadi;2021;;7,4;43;1;0;0;0;Rajiv Chilaka;Animation;;;63
The Misadventures of Hedi and Cokeman;2021;;4,5;43;1;0;0;0;Julien Hollande;Action,Comedy,Crime;France;French,Arabic,Russian;99
Tuesdays And Fridays;2021;;4,5;43;1;0;0;0;Taranveer Singh;Comedy,Musical,Romance;India;Hindi;106
Mommy Issues;2021;;5,3;43;1;0;0;0;Jose Javier Reyes;Comedy;Philippines;Tagalog,Filipino;90
Loyiso Gola: Unlearning;2021;16+;5,9;43;1;0;0;0;Kagiso Lediga;Comedy;South Africa;;60
Just in Time;2021;;6,8;42;1;0;0;0;Norman Jewison;Comedy,Romance;United States,Italy;English,Italian;109
Sarbath;2021;;5,7;41;1;0;0;0;Prabhakaran;Comedy,Drama;India;Tamil;112
Alan SaldaÇña: Locked Up;2021;;4,1;41;1;0;0;0;Alex DÇðaz;Comedy;Mexico;Spanish;49
2 Weeks in Lagos;2021;;7,2;40;1;0;0;0;Kathryn Fasegha;Romance;Nigeria;English;107
